Competition,Home Team,Away Team,Date,Venue,Home Score,Away Score
Connacht GAA Football Senior Championship,London,Roscommon,2025-04-05T00:00:00,"McGovern Park, Ruislip",0-13,2-26
Leinster GAA Football Senior Championship,Wexford,Laois,2025-04-05T00:00:00,Chadwicks Wexford Park,2-11,2-21
Munster GAA Football Senior Championship,Tipperary,Waterford,2025-04-05T00:00:00,"FBD Semple Stadium, Thurles",1-22,1-19
Munster GAA Football Senior Championship,Limerick,Cork,2025-04-05T00:00:00,TUS Gaelic Grounds,0-13,0-24
GAA Hurling All-Ireland U20B Championship - Richie McElligott Cup,Tyrone,Wicklow,2025-04-05T00:00:00,"Protection & Prosperity Louth GAA Training Centre, Darver",4-9,2-10
GAA Hurling All-Ireland U20B Championship - Richie McElligott Cup,Derry,Down,2025-04-05T00:00:00,Owenbeg,2-16,4-15
GAA Hurling All-Ireland U20C Championship - Andrew O'Neill Cup,Monaghan,Longford,2025-04-05T00:00:00,"Cloghan, Entekra COE",4-10,3-12
GAA Hurling All-Ireland U20C Championship - Andrew O'Neill Cup,Armagh,Louth,2025-04-05T00:00:00,"BOX-IT Athletic Grounds, Armagh",4-19,0-9
Connacht GAA Football Senior Championship,Mayo,Sligo,2025-04-06T00:00:00,"Hastings Insurance MacHale Park, Castlebar",2-20,2-17
Connacht GAA Football Senior Championship,New York,Galway,2025-04-06T00:00:00,"Gaelic Park, New York",0-20,3-28
Leinster GAA Football Senior Championship,Meath,Carlow,2025-04-06T00:00:00,"Páirc Tailteann, Navan",1-30,0-19
Leinster GAA Football Senior Championship,Longford,Wicklow,2025-04-06T00:00:00,Glennon Brothers Pearse Park,1-20,2-23
Ulster GAA Football Senior Championship,Donegal,Derry,2025-04-06T00:00:00,Ballybofey,1-25,1-15
Allianz Hurling League Roinn 1A,Cork,Tipperary,2025-04-06T00:00:00,"SuperValu Páirc Uí Chaoimh, Cork",3-24,0-23
Allianz Hurling League Roinn 1B,Waterford,Offaly,2025-04-06T00:00:00,"SuperValu Páirc Uí Chaoimh, Cork",1-27,2-20
Leinster GAA Football Senior Championship,Kildare,Westmeath,2025-04-12T00:00:00,Cedral St Conleth's Newbridge,2-17,0-21
Ulster GAA Football Senior Championship,Antrim,Armagh,2025-04-12T00:00:00,"Corrigan Park, Belfast",1-23,1-34
Christy Ring Cup,Wicklow,Tyrone,2025-04-12T00:00:00,"Echelon Park, Aughrim",1-24,2-16
Christy Ring Cup,Meath,London,2025-04-12T00:00:00,Trim,0-21,5-18
Christy Ring Cup,Derry,Donegal,2025-04-12T00:00:00,Celtic Park,1-21,1-17
Nickey Rackard Cup,Mayo,Roscommon,2025-04-12T00:00:00,"Hastings Insurance MacHale Park, Castlebar",1-21,1-14
Nickey Rackard Cup,Sligo,Louth,2025-04-12T00:00:00,"Markievicz Park, Sligo",0-20,0-15
Lory Meagher Cup,Lancashire,Longford,2025-04-12T00:00:00,Abbottstown - GAA Centre of Excellence,0-16,4-21
Lory Meagher Cup,Monaghan,Leitrim,2025-04-12T00:00:00,"Grattan Park, Inniskeen",2-13,0-9
2025 Academy Squads - Hibernia 1,Clare,Laois,2025-04-12T00:00:00,Caherlohan,4-18,3-5
